SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
+31s,6.144,12,10,protocol,7.5,60,0,0,76,0,0,0,0,0,0,0,0,0,0,0,39177,10
+32s,6.144,12,10,protocol,7.5,60,0,0,100,0,0,0,0,0,0,0,0,0,0,0,38494.2,10
+33s,6.144,12,10,protocol,7.5,70,0,0,118,0,0,0,0,0,0,0,0,0,0,0,37514.9,10
+34s,6.144,12,10,protocol,7.5,70,0,0,102,0,0,0,0,0,0,0,0,0,0,0,36834,10
+35s,6.144,12,10,protocol,7.5,70,0,0,76,0,0,0,0,0,0,0,0,0,0,0,36177.3,10
+36s,6.144,12,10,protocol,7.5,70,0,0,56,0,0,0,0,0,0,0,0,0,0,0,35338.9,10
+37s,6.144,12,10,protocol,7.5,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,34675.7,10
+38s,6.144,12,10,protocol,7.5,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,34113.7,10
+39s,6.144,12,10,protocol,7.5,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,33574.8,10
+40s,6.144,12,10,protocol,7.5,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,33072.1,10
+41s,6.144,12,10,protocol,7.5,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,32584.2,10
+42s,6.144,12,10,protocol,7.5,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,32092.2,10
+43s,6.144,12,10,protocol,7.5,80,0,0,56,0,0,0,0,0,0,0,0,0,0,0,31430.7,10
+44s,6.144,12,10,protocol,7.5,80,0,0,40,0,0,0,0,0,0,0,0,0,0,0,30968.2,10
+45s,6.144,12,10,protocol,7.5,80,0,0,36,0,0,0,0,0,0,0,0,0,0,0,30502.7,10
+46s,6.144,12,10,protocol,7.5,80,0,0,20,0,0,0,0,0,0,0,0,0,0,0,29918.6,10
+47s,6.144,12,10,protocol,7.5,80,0,0,28,0,0,0,0,0,0,0,0,0,0,0,29394.2,10
+48s,6.144,12,10,protocol,7.5,80,0,0,40,0,0,0,0,0,0,0,0,0,0,0,29008.1,10
+49s,6.144,12,10,protocol,7.5,80,0,0,40,0,0,0,0,0,0,0,0,0,0,0,28617.6,10
+50s,6.144,12,10,protocol,7.5,80,0,0,40,0,0,0,0,0,0,0,0,0,0,0,28251.5,10
+51s,6.144,12,10,protocol,7.5,80,0,0,40,0,0,0,0,0,0,0,0,0,0,0,27894.6,10
+52s,4.608,9,10,protocol,7.5,80,0,0,40,0,0,0,0,0,0,0,0,0,0,0,26594.1,10
+53s,4.096,8,10,protocol,7.5,80,0,0,24,0,0,0,0,0,0,0,0,0,0,0,26351.2,10
+54s,4.096,8,10,protocol,7.5,80,0,0,20,0,0,0,0,0,0,0,0,0,0,0,26127.9,10
+55s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,25857.2,10
+56s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,25583.5,10
+57s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,25272.1,10
+58s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,25080.7,10
+59s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,24892.1,10
+60s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,24692.8,10
+61s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,24488.2,10
+62s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,24253,10
+63s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,24076.7,10
+64s,4.096,8,10,protocol,7.5,130,0,0,66,0,0,0,0,0,0,0,0,0,0,0,23348.2,10
+65s,4.096,8,10,protocol,7.5,130,0,0,88,0,0,0,0,0,0,0,0,0,0,0,23172.6,10
+66s,4.096,8,10,protocol,7.5,130,0,0,102,0,0,0,0,0,0,0,0,0,0,0,22668,10
+67s,4.096,8,10,protocol,7.5,130,0,0,152,0,0,0,0,0,0,0,0,0,0,0,22377.8,10
+68s,4.096,8,10,protocol,7.5,130,0,0,196,0,0,0,0,0,0,0,0,0,0,0,22216.5,10
+69s,4.096,8,10,protocol,7.5,130,0,0,192,0,0,0,0,0,0,0,0,0,0,0,22059.7,10
+70s,3.584,7,10,protocol,7.5,130,0,0,168,0,0,0,0,0,0,0,0,0,0,0,21432,10
+71s,4.096,8,10,protocol,7.5,130,0,0,119,0,0,0,0,0,0,0,0,0,0,0,21222.6,10
+72s,3.584,7,10,protocol,7.5,130,0,0,100,0,0,0,0,0,0,0,0,0,0,0,20934.4,10
+73s,4.096,8,10,protocol,7.5,130,0,0,98,0,0,0,0,0,0,0,0,0,0,0,20433.2,10
+74s,4.096,8,10,protocol,7.5,130,0,0,80,0,0,0,0,0,0,0,0,0,0,0,20233.6,10
+75s,4.096,8,10,protocol,7.5,130,0,0,74,0,0,0,0,0,0,0,0,0,0,0,20037.8,10
+76s,4.096,8,10,protocol,7.5,130,0,0,70,0,0,0,0,0,0,0,0,0,0,0,19724.4,10
+77s,4.096,8,10,protocol,7.5,130,0,0,80,0,0,0,0,0,0,0,0,0,0,0,19485.5,10
+78s,4.096,8,10,protocol,7.5,130,0,0,80,0,0,0,0,0,0,0,0,0,0,0,19270.6,10
+79s,4.096,8,10,protocol,7.5,130,0,0,94,0,0,0,0,0,0,0,0,0,0,0,19094.6,10
+80s,4.096,8,10,protocol,7.5,130,0,0,84,0,0,0,0,0,0,0,0,0,0,0,18689.1,10
+81s,4.096,8,10,protocol,7.5,130,0,0,80,0,0,0,0,0,0,0,0,0,0,0,18472.9,10
+82s,3.584,7,10,protocol,7.5,130,0,0,83,0,0,0,0,0,0,0,0,0,0,0,17922.5,10
+83s,4.096,8,10,protocol,7.5,130,0,0,68,0,0,0,0,0,0,0,0,0,0,0,17723.6,10
+84s,4.096,8,10,protocol,7.5,130,0,0,60,0,0,0,0,0,0,0,0,0,0,0,17522.1,10
+85s,4.096,8,10,protocol,7.5,140,0,0,60,0,0,0,0,0,0,0,0,0,0,0,17045.2,10
+86s,2.56,5,10,protocol,7.5,140,0,0,68,0,0,0,0,0,0,0,0,0,0,0,16677,10
+87s,2.048,4,10,protocol,7.5,140,0,0,96,0,0,0,0,0,0,0,0,0,0,0,16557,10
+88s,2.048,4,10,protocol,7.5,140,0,0,100,0,0,0,0,0,0,0,0,0,0,0,16485.2,10
+89s,2.048,4,10,protocol,7.5,140,0,0,100,0,0,0,0,0,0,0,0,0,0,0,16423.1,10
+90s,2.048,4,10,protocol,7.5,140,0,0,86,0,0,0,0,0,0,0,0,0,0,0,16382.3,10
+91s,2.048,4,10,protocol,7.5,140,0,0,74,0,0,0,0,0,0,0,0,0,0,0,16332.1,10
+92s,2.048,4,10,protocol,7.5,140,0,0,58,0,0,0,0,0,0,0,0,0,0,0,16261.3,10
+93s,2.048,4,10,protocol,7.5,140,0,0,60,0,0,0,0,0,0,0,0,0,0,0,16221.3,10
+94s,2.048,4,10,protocol,7.5,140,0,0,60,0,0,0,0,0,0,0,0,0,0,0,16126.4,10
+95s,2.048,4,10,protocol,7.5,150,0,0,86,0,0,0,0,0,0,0,0,0,0,0,15997.9,10
+96s,2.048,4,10,protocol,7.5,150,0,0,110,0,0,0,0,0,0,0,0,0,0,0,15122.7,10
+97s,2.048,4,10,protocol,7.5,150,0,0,132,0,0,0,0,0,0,0,0,0,0,0,14969.6,10
+98s,2.048,4,10,protocol,7.5,150,0,0,124,0,0,0,0,0,0,0,0,0,0,0,14831.4,10
+99s,1.536,3,10,protocol,7.5,150,0,0,135,0,0,0,0,0,0,0,0,0,0,0,14544.1,10
+100s,2.048,4,10,protocol,7.5,150,0,0,100,0,0,0,0,0,0,0,0,0,0,0,14444.1,10
+101s,2.048,4,10,protocol,7.5,150,0,0,140,0,0,0,0,0,0,0,0,0,0,0,14338.1,10
+102s,2.048,4,10,protocol,7.5,150,0,0,160,0,0,0,0,0,0,0,0,0,0,0,14232.9,10
+103s,2.048,4,10,protocol,7.5,150,0,0,164,0,0,0,0,0,0,0,0,0,0,0,14137.2,10
+104s,2.048,4,10,protocol,7.5,150,0,0,179,0,0,0,0,0,0,0,0,0,0,0,14033.9,10
+105s,2.048,4,10,protocol,7.5,160,0,0,160,0,0,0,0,0,0,0,0,0,0,0,13926.7,10
+106s,0.512,1,10,protocol,7.5,160,0,0,134,0,0,0,0,0,0,0,0,0,0,0,13254.4,10
+107s,0,0,10,protocol,7.5,160,0,0,127,0,0,0,0,0,0,0,0,0,0,0,12669.1,10
+108s,0,0,10,protocol,7.5,160,0,0,156,0,0,0,0,0,0,0,0,0,0,0,12170.9,10
+109s,0.512,1,10,protocol,7.5,160,0,0,160,0,0,0,0,0,0,0,0,0,0,0,11579.9,10
+110s,1.024,2,10,protocol,7.5,160,0,0,160,0,0,0,0,0,0,0,0,0,0,0,11228.8,10
+111s,2.048,4,10,protocol,7.5,160,0,0,156,0,0,0,0,0,0,0,0,0,0,0,10782.2,10
+112s,1.536,3,10,protocol,7.5,160,0,0,142,0,0,0,0,0,0,0,0,0,0,0,10381,10
+113s,2.048,4,10,protocol,7.5,160,0,0,186,0,0,0,0,0,0,0,0,0,0,0,10298,10
+114s,2.048,4,10,protocol,7.5,160,0,0,244,0,0,0,0,0,0,0,0,0,0,0,10240.5,10
+115s,0,0,10,protocol,7.5,160,0,0,314,0,0,0,0,0,0,0,0,0,0,0,9998.08,10
+116s,0,0,10,protocol,7.5,160,0,0,342,0,0,0,0,0,0,0,0,0,0,0,9753.6,10
+117s,0,0,10,protocol,7.5,160,0,0,358,0,0,0,0,0,0,0,0,0,0,0,9506.96,10
+118s,10.752,21,10,protocol,7.5,160,0,0,390,0,0,0,0,0,0,0,0,0,0,0,9136.71,10
+119s,2.048,4,10,protocol,7.5,160,0,0,404,0,0,0,0,0,0,0,0,0,0,0,8899.3,10
+120s,2.048,4,10,protocol,7.5,160,0,0,412,0,0,0,0,0,0,0,0,0,0,0,8705.35,10
+121s,2.048,4,10,protocol,7.5,160,0,0,372,0,0,0,0,0,0,0,0,0,0,0,8519.68,10
+122s,2.048,4,10,protocol,7.5,160,0,0,348,0,0,0,0,0,0,0,0,0,0,0,8332.88,10
+123s,2.048,4,10,protocol,7.5,160,0,0,318,0,0,0,0,0,0,0,0,0,0,0,8162.6,10
+124s,2.048,4,10,protocol,7.5,160,0,0,321,0,0,0,0,0,0,0,0,0,0,0,7997.7,10
+125s,2.048,4,10,protocol,7.5,160,0,0,288,0,0,0,0,0,0,0,0,0,0,0,7852.29,10
+126s,2.048,4,10,protocol,7.5,190,0,0,320,0,0,0,0,0,0,0,0,0,0,0,7695.39,10
+127s,2.048,4,10,protocol,7.5,200,0,0,312,0,0,0,0,0,0,0,0,0,0,0,7433.62,10
+128s,2.048,4,10,protocol,7.5,200,0,0,260,0,0,0,0,0,0,0,0,0,0,0,7235.84,10
+129s,2.048,4,10,protocol,7.5,200,0,0,222,0,0,0,0,0,0,0,0,0,0,0,7070.21,10
+130s,2.048,4,10,protocol,7.5,200,0,0,200,0,0,0,0,0,0,0,0,0,0,0,6983.76,10
+131s,2.048,4,10,protocol,7.5,200,0,0,192,0,0,0,0,0,0,0,0,0,0,0,6967.55,10
+132s,2.048,4,10,protocol,7.5,200,0,0,200,0,0,0,0,0,0,0,0,0,0,0,6942.65,10
+133s,0,0,10,protocol,7.5,200,0,0,196,0,0,0,0,0,0,0,0,0,0,0,6819.68,10
+134s,2.048,4,10,protocol,7.5,200,0,0,168,0,0,0,0,0,0,0,0,0,0,0,6647.94,10
+135s,1.536,3,10,protocol,7.5,200,0,0,150,0,0,0,0,0,0,0,0,0,0,0,6581.34,10
+136s,1.536,3,10,protocol,7.5,200,0,0,140,0,0,0,0,0,0,0,0,0,0,0,6429.77,10
+137s,2.048,4,10,protocol,7.5,200,0,0,140,0,0,0,0,0,0,0,0,0,0,0,6268.05,10
+138s,1.536,3,10,protocol,7.5,200,0,0,140,0,0,0,0,0,0,0,0,0,0,0,6091.51,10
+139s,2.56,5,10,protocol,7.5,200,0,0,140,0,0,0,0,0,0,0,0,0,0,0,5857.02,10
+140s,1.024,2,10,protocol,7.5,200,0,0,150,0,0,0,0,0,0,0,0,0,0,0,5707.33,10
+141s,0,0,10,protocol,7.5,200,0,0,164,0,0,0,0,0,0,0,0,0,0,0,5596.44,10
+142s,0,0,10,protocol,7.5,200,0,0,180,0,0,0,0,0,0,0,0,0,0,0,5529.93,10
+143s,0,0,10,protocol,7.5,200,0,0,210,0,0,0,0,0,0,0,0,0,0,0,5450.8,10
+144s,1.024,2,10,protocol,7.5,200,0,0,240,0,0,0,0,0,0,0,0,0,0,0,5285.73,10
+145s,2.048,4,10,protocol,7.5,200,0,0,254,0,0,0,0,0,0,0,0,0,0,0,5168.94,10
+146s,2.048,4,10,protocol,7.5,200,0,0,270,0,0,0,0,0,0,0,0,0,0,0,5112.29,10
+147s,2.048,4,10,protocol,7.5,210,0,0,322,0,0,0,0,0,0,0,0,0,0,0,5046.54,10
+148s,2.048,4,10,protocol,7.5,210,0,0,350,0,0,0,0,0,0,0,0,0,0,0,4971.72,10
+149s,2.048,4,10,protocol,7.5,210,0,0,348,0,0,0,0,0,0,0,0,0,0,0,4913.64,10
+150s,2.048,4,10,protocol,7.5,210,0,0,330,0,0,0,0,0,0,0,0,0,0,0,4850.29,10
+151s,2.048,4,10,protocol,7.5,210,0,0,320,0,0,0,0,0,0,0,0,0,0,0,4771.91,10
+152s,2.048,4,10,protocol,7.5,210,0,0,300,0,0,0,0,0,0,0,0,0,0,0,4664.82,10
+153s,12.288,24,10,protocol,7.5,210,0,0,298,0,0,0,0,0,0,0,0,0,0,0,4553.6,10
+154s,3.584,7,10,protocol,7.5,210,0,0,318,0,0,0,0,0,0,0,0,0,0,0,4490.23,10
+155s,3.584,7,10,protocol,7.5,210,0,0,322,0,0,0,0,0,0,0,0,0,0,0,4405.23,10
+156s,4.096,8,10,protocol,7.5,210,0,0,318,0,0,0,0,0,0,0,0,0,0,0,4338.73,10
+157s,4.096,8,10,protocol,7.5,220,0,0,268,0,0,0,0,0,0,0,0,0,0,0,4288,10
+158s,4.096,8,10,protocol,7.5,220,0,0,228,0,0,0,0,0,0,0,0,0,0,0,4158.12,10
+159s,4.096,8,10,protocol,7.5,220,0,0,220,0,0,0,0,0,0,0,0,0,0,0,4025.79,10
+160s,4.096,8,10,protocol,7.5,230,0,0,232,0,0,0,0,0,0,0,0,0,0,0,3762.99,10
+161s,4.096,8,10,protocol,7.5,230,0,0,264,0,0,0,0,0,0,0,0,0,0,0,3604.42,10
+162s,4.096,8,10,protocol,7.5,230,0,0,280,0,0,0,0,0,0,0,0,0,0,0,3487.55,10
+163s,4.096,8,10,protocol,7.5,230,0,0,292,0,0,0,0,0,0,0,0,0,0,0,3390.82,10
+164s,4.096,8,10,protocol,7.5,230,0,0,292,0,0,0,0,0,0,0,0,0,0,0,3324.29,10
+165s,4.096,8,10,protocol,7.5,230,0,0,270,0,0,0,0,0,0,0,0,0,0,0,3245.01,10
+166s,4.096,8,10,protocol,7.5,230,0,0,276,0,0,0,0,0,0,0,0,0,0,0,3199.18,10
+167s,4.096,8,10,protocol,7.5,230,0,0,300,0,0,0,0,0,0,0,0,0,0,0,3149.15,10
+168s,4.096,8,10,protocol,7.5,240,0,0,374,0,0,0,0,0,0,0,0,0,0,0,3101.7,10
+169s,4.096,8,10,protocol,7.5,240,0,0,400,0,0,0,0,0,0,0,0,0,0,0,3053.58,10
+170s,3.584,7,10,protocol,7.5,240,0,0,414,0,0,0,0,0,0,0,0,0,0,0,2998.74,10
+171s,4.096,8,10,protocol,7.5,240,0,0,444,0,0,0,0,0,0,0,0,0,0,0,2953.77,10
+172s,4.096,8,10,protocol,7.5,240,0,0,496,0,0,0,0,0,0,0,0,0,0,0,2909.87,10
+173s,4.096,8,10,protocol,7.5,240,0,0,518,0,0,0,0,0,0,0,0,0,0,0,2873.05,10
+174s,4.096,8,10,protocol,7.5,240,0,0,508,0,0,0,0,0,0,0,0,0,0,0,2836.69,10
+175s,4.096,8,10,protocol,7.5,240,0,0,468,0,0,0,0,0,0,0,0,0,0,0,2797,10
+176s,4.096,8,10,protocol,7.5,240,0,0,422,0,0,0,0,0,0,0,0,0,0,0,2760.91,10
+177s,4.096,8,10,protocol,7.5,240,0,0,374,0,0,0,0,0,0,0,0,0,0,0,2728.23,10
+178s,4.096,8,10,protocol,7.5,240,0,0,346,0,0,0,0,0,0,0,0,0,0,0,2687.47,10
+179s,4.096,8,10,protocol,7.5,240,0,0,316,0,0,0,0,0,0,0,0,0,0,0,2652.05,10
+180s,4.096,8,10,protocol,7.5,240,0,0,294,0,0,0,0,0,0,0,0,0,0,0,2575.16,10
+181s,4.096,8,10,protocol,7.5,240,0,0,314,0,0,0,0,0,0,0,0,0,0,0,2501.68,10
+182s,4.096,8,10,protocol,7.5,240,0,0,340,0,0,0,0,0,0,0,0,0,0,0,2426.75,10
+183s,4.096,8,10,protocol,7.5,240,0,0,356,0,0,0,0,0,0,0,0,0,0,0,2369.58,10
+184s,4.096,8,10,protocol,7.5,240,0,0,428,0,0,0,0,0,0,0,0,0,0,0,2346.12,10
+185s,4.096,8,10,protocol,7.5,240,0,0,440,0,0,0,0,0,0,0,0,0,0,0,2339.93,10
+186s,4.096,8,10,protocol,7.5,240,0,0,456,0,0,0,0,0,0,0,0,0,0,0,2336.2,10
+187s,4.096,8,10,protocol,7.5,250,0,0,508,0,0,0,0,0,0,0,0,0,0,0,2332,10
+188s,4.096,8,10,protocol,7.5,280,0,0,580,0,0,0,0,0,0,0,0,0,0,0,2325.11,10
+189s,3.584,7,10,protocol,7.5,280,0,0,578,0,0,0,0,0,0,0,0,0,0,0,2319.47,10
+190s,4.096,8,10,protocol,7.5,280,0,0,584,0,0,0,0,0,0,0,0,0,0,0,2312.88,10
+191s,4.096,8,10,protocol,7.5,280,0,0,516,0,0,0,0,0,0,0,0,0,0,0,2308.93,10
+192s,4.096,8,10,protocol,7.5,280,0,0,500,0,0,0,0,0,0,0,0,0,0,0,2305.71,10
+193s,4.096,8,10,protocol,7.5,280,0,0,476,0,0,0,0,0,0,0,0,0,0,0,2303.02,10
+194s,4.096,8,10,protocol,7.5,280,0,0,440,0,0,0,0,0,0,0,0,0,0,0,2300.08,10
+195s,4.096,8,10,protocol,7.5,280,0,0,440,0,0,0,0,0,0,0,0,0,0,0,2297.25,10
+196s,4.096,8,10,protocol,7.5,280,0,0,440,0,0,0,0,0,0,0,0,0,0,0,2294.5,10
+197s,4.096,8,10,protocol,7.5,280,0,0,448,0,0,0,0,0,0,0,0,0,0,0,2291.95,10
+198s,4.096,8,10,protocol,7.5,280,0,0,472,0,0,0,0,0,0,0,0,0,0,0,2286.38,10
+199s,4.096,8,10,protocol,7.5,280,0,0,484,0,0,0,0,0,0,0,0,0,0,0,2283.31,10
+200s,4.096,8,10,protocol,7.5,280,0,0,530,0,0,0,0,0,0,0,0,0,0,0,2278.72,10
+201s,4.096,8,10,protocol,7.5,280,0,0,568,0,0,0,0,0,0,0,0,0,0,0,2261.4,10
+202s,4.096,8,10,protocol,7.5,280,0,0,624,0,0,0,0,0,0,0,0,0,0,0,2255.98,10
+203s,4.096,8,10,protocol,7.5,280,0,0,640,0,0,0,0,0,0,0,0,0,0,0,2253.49,10
+204s,4.096,8,10,protocol,7.5,280,0,0,642,0,0,0,0,0,0,0,0,0,0,0,2250.74,10
+205s,4.096,8,10,protocol,7.5,280,0,0,682,0,0,0,0,0,0,0,0,0,0,0,2246.78,10
+206s,4.096,8,10,protocol,7.5,280,0,0,681,0,0,0,0,0,0,0,0,0,0,0,2244.43,10
+207s,4.096,8,10,protocol,7.5,280,0,0,672,0,0,0,0,0,0,0,0,0,0,0,2241.3,10
+208s,4.096,8,10,protocol,7.5,280,0,0,632,0,0,0,0,0,0,0,0,0,0,0,2238.96,10
+209s,4.096,8,10,protocol,7.5,290,0,0,646,0,0,0,0,0,0,0,0,0,0,0,2235.27,10
+210s,4.096,8,10,protocol,7.5,290,0,0,626,0,0,0,0,0,0,0,0,0,0,0,2232.19,10
+211s,4.096,8,10,protocol,7.5,290,0,0,640,0,0,0,0,0,0,0,0,0,0,0,2226.67,10
+212s,15.872,31,10,protocol,7.5,290,0,0,632,0,0,0,0,0,0,0,0,0,0,0,2213.78,10
+213s,6.144,12,10,protocol,7.5,290,0,0,654,0,0,0,0,0,0,0,0,0,0,0,2209.53,10
+214s,6.144,12,10,protocol,7.5,290,0,0,624,0,0,0,0,0,0,0,0,0,0,0,2205.39,10
+215s,6.144,12,10,protocol,7.5,290,0,0,618,0,0,0,0,0,0,0,0,0,0,0,2201.2,10
+216s,6.144,12,10,protocol,7.5,300,0,0,656,0,0,0,0,0,0,0,0,0,0,0,2196.47,10
+217s,6.144,12,10,protocol,7.5,300,0,0,660,0,0,0,0,0,0,0,0,0,0,0,2192.53,10
+218s,6.144,12,10,protocol,7.5,300,0,0,650,0,0,0,0,0,0,0,0,0,0,0,2188.72,10
+219s,6.144,12,10,protocol,7.5,300,0,0,628,0,0,0,0,0,0,0,0,0,0,0,2183.46,10
+220s,6.144,12,10,protocol,7.5,310,0,0,600,0,0,0,0,0,0,0,0,0,0,0,2178.06,10
+221s,6.144,12,10,protocol,7.5,310,0,0,556,0,0,0,0,0,0,0,0,0,0,0,2172.36,10
+222s,6.144,12,10,protocol,7.5,310,0,0,554,0,0,0,0,0,0,0,0,0,0,0,2167.2,10
+223s,6.144,12,10,protocol,7.5,310,0,0,576,0,0,0,0,0,0,0,0,0,0,0,2161.92,10
+224s,6.144,12,10,protocol,7.5,310,0,0,560,0,0,0,0,0,0,0,0,0,0,0,2157.67,10
+225s,6.144,12,10,protocol,7.5,310,0,0,560,0,0,0,0,0,0,0,0,0,0,0,2153.84,10
+226s,6.144,12,10,protocol,7.5,310,0,0,608,0,0,0,0,0,0,0,0,0,0,0,2150,10
+227s,6.144,12,10,protocol,7.5,310,0,0,576,0,0,0,0,0,0,0,0,0,0,0,2146.12,10
+228s,6.144,12,10,protocol,7.5,310,0,0,578,0,0,0,0,0,0,0,0,0,0,0,2142.54,10
+229s,6.144,12,10,protocol,7.5,310,0,0,580,0,0,0,0,0,0,0,0,0,0,0,2137.27,10
+230s,6.144,12,10,protocol,7.5,320,0,0,564,0,0,0,0,0,0,0,0,0,0,0,2131.92,10
+231s,6.144,12,10,protocol,7.5,320,0,0,580,0,0,0,0,0,0,0,0,0,0,0,2127.43,10
+232s,6.144,12,10,protocol,7.5,320,0,0,580,0,0,0,0,0,0,0,0,0,0,0,2122.14,10
+233s,6.144,12,10,protocol,7.5,320,0,0,572,0,0,0,0,0,0,0,0,0,0,0,2117.74,10
+234s,6.144,12,10,protocol,7.5,320,0,0,589,0,0,0,0,0,0,0,0,0,0,0,2113.27,10
+235s,6.144,12,10,protocol,7.5,320,0,0,560,0,0,0,0,0,0,0,0,0,0,0,2109.6,10
+236s,6.144,12,10,protocol,7.5,320,0,0,562,0,0,0,0,0,0,0,0,0,0,0,2105.82,10
+237s,14.848,29,10,protocol,7.5,320,0,0,626,0,0,0,0,0,0,0,0,0,0,0,2093.4,10
+238s,8.192,16,10,protocol,7.5,320,0,0,640,0,0,0,0,0,0,0,0,0,0,0,2089.26,10
